primaryName,birthYear,nconst,deathYear,primaryProfession,knownForTitles,Ethnicity
Chris Doubek,\N,nm1953775,\N,actor,"tt10640346,tt1065073,tt5710514,tt2762506",NA
Chris Eigeman,1965,nm0001177,\N,"actor,director,writer","tt0811128,tt0120728,tt0252076,tt0100142",NA
Chris Ellis,1956,nm0254760,\N,actor,"tt0112384,tt0120591,tt0399201,tt0418279",NA
Chris Evans,1981,nm0262635,\N,"actor,producer,soundtrack","tt0848228,tt0458339,tt2395427,tt3498820","*25% German
*25% Irish
*25% Italian
*25% mix of Welsh, English, and Scottish"
Chris Farley,1964,nm0000394,1997,"actor,soundtrack,stunts","tt0106598,tt0114694,tt0115697,tt0118708","*87.5% Irish
*12.5% Scottish"
Chris Ferreira,\N,nm0274298,\N,"composer,actor,art_department","tt0212974,tt2692596,tt2722106,tt0276773",NA
Chris Fleming,\N,nm5176837,\N,actor,tt0810821,NA
Chris Gauthier,1976,nm0310240,\N,"actor,writer","tt0243736,tt0965394,tt0409459,tt0329101",NA
Chris Graham,\N,nm3233617,\N,actor,"tt11428418,tt8438110,tt4465100,tt1733729",NA
Chris Hemsworth,1983,nm1165110,\N,"actor,producer,soundtrack","tt3501632,tt0796366,tt1735898,tt0848228","Dutch (maternal grandfather), Irish, English, as well as 1/16th German and 1/16th Scottish"
Chris Isaak,1956,nm0001389,\N,"music_artist,soundtrack,actor","tt0120663,tt0105665,tt0100935,tt0107426","*Bessarabia German (father)
*Italian (mother)"
Chris J. Murray,\N,nm3042235,\N,"actor,director,producer","tt2928910,tt0802999,tt2473510,tt9287378",NA
Chris Jaymes,\N,nm0002913,\N,"actor,producer,director","tt0411008,tt7942796,tt13880832,tt0251744",NA
Chris Jericho,1970,nm0410171,\N,"actor,producer,writer","tt1470023,tt6521876,tt3300126,tt0227972",NA
Chris Kattan,1970,nm0441592,\N,"actor,soundtrack,writer","tt2479478,tt0185371,tt0120770,tt0279493","*father – Iraqi Jewish, Polish Jewish
*mother – Hungarian"
Chris Kies,\N,nm1824462,\N,actor,"tt1450324,tt1528309,tt1964773,tt3203180",NA
Chris Klein,1979,nm0005098,\N,"actor,soundtrack,producer","tt0277434,tt0433400,tt0126886,tt0163651","*50% German
*43.75% Irish
*6.25% English"
Chris Krzykowski,\N,nm4111911,\N,"camera_department,transportation_department,actor","tt3741700,tt3766354,tt6680116,tt7042862",NA
Chris Lazzaro,\N,nm4977181,\N,"actor,producer,miscellaneous","tt2091883,tt2713642,tt6584118,tt24989938",NA
Chris M. Kauffmann,\N,nm0442053,\N,actor,"tt7235466,tt3920596,tt2601260,tt0138640",NA
Chris Massoglia,1992,nm1491631,\N,"actor,producer,writer","tt8846738,tt0450405,tt4372736,tt1085779","Italian (great-grandfather), Irish, German, English, French/French-Canadian, Swiss-German"
Chris McGinn,\N,nm0569341,\N,"actress,miscellaneous,assistant_director","tt0102926,tt0130121,tt1797404,tt1458169",NA
Chris McGurrin,\N,nm1407320,\N,actress,tt0358480,NA
Chris Messina,1974,nm0582149,\N,"actor,producer,director","tt1839492,tt1024648,tt1314655,tt1176740",Italian
Chris Mulkey,1948,nm0611889,\N,"actor,producer,soundtrack","tt0116277,tt1060277,tt2582802,tt0083511",NA
Chris Noth,1954,nm0636562,\N,"actor,producer,writer","tt0098844,tt1261945,tt0159206,tt1000774","*50% Irish
*37.5% German
*12.5% English"
Chris O'Donnell,1970,nm0000563,\N,"actor,producer,director","tt0105323,tt0190865,tt0118688,tt0108333",NA
Chris O'Dowd,1979,nm1483369,\N,"actor,writer,producer","tt0910554,tt1478338,tt1673697,tt2319283",NA
Chris O'Neil,1994,nm2198494,\N,actor,"tt0318220,tt1662643,tt1441884,tt0768212",NA
Chris Owen,1980,nm0654104,\N,"actor,camera_department","tt0884328,tt0163651,tt0110443,tt0132477",NA
Chris Palermo,1956,nm0657548,\N,"stunts,actor","tt1013752,tt3890160,tt1950186,tt1825683",NA
Chris Parnell,1967,nm0663177,\N,"actor,soundtrack,writer","tt0841046,tt0787475,tt2861424,tt0357413","*father – English, other
*mother – German, Swiss-French/Swiss-German"
Chris Penn,1965,nm0001606,2006,"actor,producer,soundtrack","tt0105236,tt0108122,tt0087277,tt0108399","*father – Ashkenazi Jewish
*mother – Italian, Irish"
Chris Pine,1980,nm1517976,\N,"actor,producer,soundtrack","tt1408101,tt0451279,tt2660888,tt0796366","Ashkenazi Jewish (maternal grandfather), German, English, Welsh, French"
Chris Pratt,1979,nm0695435,\N,"actor,soundtrack,producer","tt0369610,tt4881806,tt2015381,tt1266020","*father – English, Norwegian, German, Swiss-German, French-Canadian
*mother – Norwegian"
Chris Riggi,1985,nm2861180,\N,"actor,cinematographer,producer","tt1666186,tt0397442,tt2788432,tt1067765",NA
Chris Rock,1965,nm0001674,\N,"producer,actor,writer","tt2784678,tt0351283,tt0398165,tt0325537",African-American
Chris Saladin,\N,nm3727568,\N,"actor,miscellaneous","tt1831617,tt0437729",NA
Chris Sarandon,1942,nm0001697,\N,"actor,soundtrack,producer",tt0107688,Greek
Chris Schellenger,\N,nm4718901,\N,"actor,casting_department","tt3952614,tt3140724,tt2292959,tt10322172",NA
Chris Solari,1976,nm4897832,\N,actor,"tt0182656,tt0200337,tt0203425,tt0387199",NA
Chris Stafford,1977,nm0821256,\N,actor,"tt0206951,tt3314212,tt0138414,tt0057731",NA
Chris Tucker,1971,nm0000676,\N,"actor,soundtrack,writer","tt0120812,tt0266915,tt1045658,tt0293564",African-American
Chris Watson,\N,nm1734291,\N,actor,"tt0872264,tt0201290",NA
Chris Weitz,1969,nm0919363,\N,"producer,writer,director","tt3748528,tt0276751,tt0356910,tt0385752","*75% Ashkenazi Jewish
*25% mix of Mexican and some Irish"
Chris Wylde,1976,nm0943699,\N,"actor,writer,producer","tt1336006,tt0200550,tt0245686,tt0186566",NA
Chris Zylka,1985,nm3024712,\N,"actor,producer,director","tt0948470,tt1714203,tt1633356,tt1523483","*father – German, smaller amounts of English, Irish, Scottish, and Welsh
*mother – Polish, Ukrainian, Slovak, Ruthenian/Rusyn"
Chrissy Calhoun,1981,nm2306284,\N,"actress,producer","tt0900357,tt1494606,tt2170499,tt7173598",NA
Christa B. Allen,1991,nm1568512,\N,"actress,soundtrack","tt0337563,tt0403702,tt0821640,tt1837642",NA
Christa Campbell,1972,nm0132300,\N,"actress,producer,executive","tt0800175,tt1959563,tt2274648,tt4908644",NA
Christen Orr,\N,nm5114585,\N,"actress,stunts","tt2580744,tt2488366,tt7074886,tt2182256",NA
Christene Martin,\N,nm2813997,\N,producer,tt0954327,NA
Christian Bale,1974,nm0000288,\N,"actor,producer,soundtrack","tt0144084,tt1800241,tt0468569,tt0372784","English, as well as distant Channel Islander [Guernsey] and German"
Christian Behm,\N,nm2037511,\N,"actor,editor,assistant_director","tt21440340,tt0463392,tt1378323,tt1343076",NA
Christian Byers,1993,nm1693309,\N,"actor,writer,director","tt1496005,tt0469099,tt0420835,tt0465436",NA
Christian Camargo,1971,nm0131235,\N,"actor,producer,director","tt0887912,tt2051879,tt1673434,tt0465234","Mexican (maternal grandfather), English, other"
Christian Campbell,1972,nm0132301,\N,"actor,producer,director","tt2356777,tt0162710,tt0404364,tt5853176",NA
Christian Contreras,\N,nm2757852,\N,"actor,writer","tt2677722,tt3804114,tt1790885,tt3551796",NA
Christian Kane,1972,nm0437283,\N,"actor,soundtrack,producer","tt0282687,tt0305711,tt0327137,tt1103987",NA
Christian Kohlund,1950,nm0463351,\N,"actor,director","tt0086732,tt0108698,tt0163506,tt0115088",NA
Christian Martyn,2000,nm3299784,\N,actor,"tt2308733,tt5421602,tt2314886,tt8462412",NA
Christian Meier,1970,nm0576662,\N,"actor,writer,producer","tt0166287,tt6540628,tt21307860,tt21307836",NA
Christian Oliver,1972,nm0646792,\N,"actor,producer,writer","tt1509767,tt9110170,tt0452624,tt0811080",NA
Christian Payton,1965,nm0668109,\N,"actor,producer","tt0119311,tt0118872,tt0421275,tt0120873",NA
Christian Pitre,1983,nm1732579,\N,actress,"tt1347093,tt2369396,tt0844441,tt1570728","*father – Cajun/French, smaller amounts of Spanish, and some German
*mother – English, possibly other"
Christian Potenza,1972,nm0693066,\N,"actor,producer,writer","tt1031969,tt1173427,tt3177810,tt0290095",NA
Christian Simpson,1973,nm0800939,\N,"miscellaneous,actor,writer","tt0121766,tt2488496,tt3748528,tt5430544",NA
Christian Slater,1969,nm0000225,\N,"actor,producer,soundtrack","tt0108399,tt0102798,tt0124198,tt0115759","German, Irish, English, Welsh, small amount of Dutch and Scottish"
Christian Stevens,\N,nm7222287,\N,actor,tt0918940,NA
Christiane Kroll,\N,nm4073710,\N,actress,"tt1954204,tt1375742,tt2616818,tt0247082",NA
Christie Laing,1985,nm1682392,\N,"actress,art_department","tt1465522,tt0389564,tt2193021,tt0279600",NA
Christien Tinsley,1974,nm0864051,\N,"make_up_department,special_effects,actor","tt0480249,tt1291580,tt6412452,tt0335345",NA
Christina Aguilera,1980,nm0004694,\N,"music_artist,soundtrack,actress","tt4877122,tt1839337,tt1126591,tt0203009","*father – Ecuadorian, including Spanish [Andalusian, Castilian, Extremaduran, Leonese], Galician, likely around one eighth Swedish, remote Indigenous Quechua
*mother – English, with smaller amounts (to varying degrees) of German, Irish, Scots-Irish/Northern Irish, French, Welsh, and Dutch"
Christina Applegate,1971,nm0000775,\N,"actress,producer,soundtrack","tt4651520,tt0101757,tt0092400,tt0253867","English, Scottish, German, Irish, Scots-Irish/Northern Irish, Welsh, more distant Dutch, French, Danish, Swedish, 1/512 Portuguese, remote Norwegian"
Christina Bach,\N,nm1529617,\N,actress,"tt9777666,tt1074206,tt2043757,tt4257926",NA
Christina Cole,1982,nm1268047,\N,actress,"tt1617661,tt0381061,tt0286788,tt1117666",NA
Christina Glur,\N,nm3415538,\N,actress,"tt10999120,tt0962726,tt1485796,tt1068242",NA
Christina Hendricks,1975,nm0376716,\N,"actress,producer,soundtrack","tt1798603,tt0804503,tt1974419,tt2115295","English, as well as 1/32 Norwegian, some German"
Christina Ingram,\N,nm3858306,\N,"miscellaneous,actress,writer","tt3752896,tt7526414,tt3821996",NA
Christina Milian,1981,nm0587396,\N,"actress,music_department,soundtrack","tt0337592,tt0454919,tt0331933,tt0377471","Cuban [African, Spanish]"
Christina Ricci,1980,nm0000207,\N,"actress,producer,soundtrack","tt0462200,tt0811080,tt0112642,tt0118789","Irish (at least 62.5%), Italian (25%), smaller amounts of Scottish and English"
Christina Storm,\N,nm3947527,\N,actress,"tt1787867,tt2044801,tt2160153,tt2593128",NA
Christina Ulloa,1982,nm1728959,\N,actress,"tt3811244,tt1877543",NA
Christina Vidal,1981,nm0896292,\N,"actress,soundtrack,producer","tt9421570,tt0114906,tt0107413,tt0437179",NA
Christine Adams,1974,nm0010837,\N,"actress,writer,producer","tt6045840,tt1568346,tt1104001,tt0372784",NA
Christine Dunham,\N,nm0242266,\N,actress,"tt0095532,tt0210616,tt10413092,tt0267393",NA
Christine Eads,\N,nm0247038,\N,"actress,miscellaneous,casting_department","tt0470993,tt0277255,tt0284591,tt2070712",NA
Christine Haeberman,1981,nm2371152,\N,actress,"tt1762358,tt1466463,tt3153582,tt1176733",NA
Christine Lakin,1979,nm0003115,\N,"actress,miscellaneous,director","tt0182576,tt8510382,tt6546758,tt2712740","*25% Ashkenazi Jewish
*25% English, with some Irish and German
*25% Polish
*25% Czech"
Christine Romeo,\N,nm0739221,\N,"actress,producer,writer","tt0210720,tt0104452,tt0108757,tt1754633",NA
Christine Scott Bennett,\N,nm2320532,\N,actress,"tt1219024,tt0893367,tt1714202,tt1798695",NA
Christine Taylor,1971,nm0852132,\N,"actress,soundtrack,writer","tt0120888,tt0196229,tt0364725,tt0118073","*father – English, Polish, Swedish, German, Irish, Scottish
*mother – Irish"
Christine Woods,1983,nm2147876,\N,"actress,producer","tt2378794,tt5710514,tt1441135,tt1595856","English, Polish, some Dutch, possibly Norwegian and Irish"
Christoph Malzl,\N,nm5996187,\N,"actor,sound_department","tt1270114,tt7974292",NA
Christoph Waltz,1956,nm0910607,\N,"actor,producer,soundtrack","tt1692486,tt0361748,tt1853728,tt2333804","German, Austrian, likely small amount of Slovenian"
Christopher Abbott,1986,nm3571592,\N,"actor,soundtrack,producer","tt5918982,tt4695012,tt3553442,tt4288636","*father – Vincentian [African, possibly Portuguese and Eastern European]
*mother – Italian"
Christopher Adamson,1956,nm0011478,\N,actor,"tt0102798,tt0245844,tt0113492,tt0119683",NA
Christopher Allport,1947,nm0021597,2008,"actor,soundtrack","tt0090180,tt0105937,tt0094484,tt0116671",NA
Christopher Atkins,1961,nm0000803,\N,"actor,writer,producer","tt0084504,tt0080453,tt0086011,tt0493406","Irish, English, smaller amounts of Scottish, Norwegian, French, German, remote Welsh and Cornish"
Christopher Backus,1981,nm1634832,\N,actor,"tt3920596,tt5290382,tt7821582,tt8594276","*25% German
*25% Hungarian
*25% Norwegian
*25% Swedish"
Christopher Berry,\N,nm0077512,\N,actor,"tt1853728,tt2250912,tt1124037,tt2024544",NA
Christopher Borgzinner,\N,nm2988762,\N,"actor,writer,producer","tt10442846,tt2370248,tt1200272,tt9486824",NA
Christopher Bradley,1961,nm0002222,\N,"actor,director,writer","tt0087472,tt4287236,tt0096426,tt0119508",NA
Christopher Corey Smith,1962,nm0448686,\N,"actor,sound_department,art_department","tt2465238,tt0852863,tt2580046,tt2098220",NA
Christopher Cousins,1960,nm0184086,\N,actor,"tt0903747,tt0126916,tt0324554,tt0433386",NA
Christopher Daniel Barnes,1972,nm0055549,\N,"actor,soundtrack","tt0086886,tt0097757,tt0118073,tt0112572",NA
Christopher De Leon,1956,nm0209649,\N,"actor,producer,director","tt0409022,tt0138623,tt0159456,tt0099717","Filipino [Kapampangan, Tagalog], one quarter Ashkenazi Jewish"
Christopher de Padua,\N,nm4508578,\N,actor,"tt1996271,tt1986983,tt2909124",NA
Christopher Denham,\N,nm1706832,\N,"actor,writer,director","tt1024648,tt1748207,tt1130884,tt4270492",NA
Christopher Eccleston,1964,nm0001172,\N,actor,"tt0436992,tt0289043,tt0111149,tt1981115","English, small amount of Irish"
Christopher Evan Welch,1965,nm0919525,2013,actor,"tt0497465,tt1560747,tt2575988,tt0443272",NA
Christopher Fairbank,1953,nm0265457,\N,"actor,soundtrack","tt2015381,tt0119116,tt1351685,tt0096895",NA
Christopher Fitzgerald,1972,nm0280199,\N,"actor,soundtrack","tt0490579,tt1698648,tt0959337,tt0181984",NA
Christopher Gorham,1974,nm0330913,\N,"actor,director,writer","tt1495708,tt6487482,tt0805669,tt13833978","German, English, French, Irish, Welsh"
Christopher Guest,1948,nm0001302,\N,"actor,writer,soundtrack","tt0088258,tt0118111,tt0218839,tt0310281","Ashkenazi Jewish, some English, more distant Scottish and Sephardi Jewish"
Christopher Heyerdahl,1963,nm0382216,\N,"actor,soundtrack","tt5116302,tt1699748,tt13146488,tt1998372","*Norwegian (father)
*Scottish (mother)"
Christopher Jacot,\N,nm0415066,\N,"actor,soundtrack","tt0796264,tt3512900,tt4667888,tt0388285",NA
Christopher Jordan Wallace,1996,nm3246926,\N,"actor,composer,soundtrack","tt0472198,tt4254584,tt1531663,tt7689906",NA
Christopher Judge,1964,nm0431895,\N,"actor,writer,producer","tt1345836,tt13119450,tt0118480,tt5838588",NA
Christopher Kadish,\N,nm0434349,\N,actor,"tt0106028,tt0260924,tt1095001,tt0247199",NA
Christopher Kovaleski,\N,nm1468254,\N,actor,"tt0373152,tt0356618",NA
Christopher Lambert,1957,nm0000483,\N,"actor,producer,writer","tt0106950,tt0090095,tt0091203,tt0113855","*father – Ashkenazi Jewish, Sephardi Jewish
*mother – Belgian Flemish, Dutch, French, remote Italian"
Christopher Lee,1922,nm0000489,2015,"actor,soundtrack,miscellaneous","tt0120737,tt0070917,tt0121765,tt0167261","English, as well as one eighth Italian"
Christopher Lloyd,1938,nm0000502,\N,"actor,soundtrack,producer","tt0088763,tt0106220,tt0101272,tt0096438","English, as well as 1/16th French, distant Welsh, possibly distant German"
Christopher Lowell,1984,nm1645313,\N,"actor,director,writer","tt1193138,tt1454029,tt9620292,tt2184398",NA
Christopher Marquette,1984,nm0549815,\N,"actor,music_department,soundtrack","tt5348176,tt0433400,tt0489049,tt0265208",NA
Christopher Masterson,1980,nm0557733,\N,"actor,producer,soundtrack","tt0119738,tt0212671,tt0257106,tt0112760",NA
Christopher Matthew Cook,\N,nm4232922,\N,actor,"tt1520211,tt11358390,tt4054654,tt13659418",NA
Christopher McDonald,1955,nm0001520,\N,"actor,producer,soundtrack","tt0110932,tt0116483,tt1582453,tt0103074",NA
Christopher Meloni,1961,nm0005221,\N,"actor,producer,director","tt0770828,tt0458481,tt0366551,tt0243655","*father – Italian
*mother – French-Canadian, as well as at least 1/128th English"
Christopher Mintz-Plasse,1989,nm2395586,\N,"actor,soundtrack,producer","tt0829482,tt1250777,tt1646971,tt1650554",NA
Christopher Plummer,1929,nm0001626,2021,"actor,soundtrack,producer","tt0140352,tt5294550,tt3704050,tt1532503","Scottish, English, Northern Irish, Cornish, as well as 1/64th Swiss-French and 1/64th French-Canadian"
Christopher Redman,1980,nm0714992,\N,"actor,writer,editor","tt5645432,tt2788432,tt5673782,tt6143796",NA
Christopher Russell,1983,nm0751076,\N,actor,"tt12052892,tt0460681,tt0418819,tt5171438",NA
Christopher Shand,1983,nm1694983,\N,"actor,producer,executive","tt3263614,tt0387199,tt3563262,tt0441007",NA
Christopher Showerman,1971,nm0962398,\N,"actor,producer,writer","tt1047445,tt1943783,tt0322389",NA
Christopher Shyer,\N,nm0796125,\N,"actor,producer,director","tt0298814,tt0164334,tt0282687,tt1616195",NA
Christopher Walken,1943,nm0000686,\N,"actor,soundtrack,producer","tt0114194,tt0427327,tt0264464,tt0077416","*father – German
*mother – Irish, Scottish"
Christopher Wyllie,\N,nm2575997,\N,actor,"tt12327578,tt2172001,tt2747908,tt3577678",NA
Christy Carlson Romano,1984,nm0005579,\N,"actress,producer,soundtrack","tt0206511,tt0278866,tt3455826,tt7979492","*Italian (father)
*German, Norwegian or Swedish (mother)"
Chrystale Wilson,\N,nm0933188,\N,"actress,production_designer,art_department","tt0217107,tt3570724,tt22044324,tt0119905",NA
Chuck Cooper,1954,nm0177946,\N,"actor,soundtrack,stunts","tt0086856,tt0765447,tt0419749,tt8721424",NA
Chuck D,1960,nm0195982,\N,"soundtrack,music_department,actor","tt0390022,tt0329774,tt2660888,tt1855199",NA
Chuck Getty,\N,nm4097069,\N,"actor,camera_department,casting_department","tt3006588,tt1729549",NA
Chuck Jeffreys,1958,nm0420333,\N,"stunts,actor,miscellaneous","tt0120611,tt0329774,tt0114746,tt0172495",NA
Chuck Liddell,1969,nm1101910,\N,"actor,transportation_department","tt1650554,tt4556370,tt0278488,tt3779300",NA
Chuck Sigars,\N,nm5778883,\N,actor,tt3030580,NA
Chyler Leigh,1982,nm0500200,\N,"actress,producer,soundtrack","tt1990181,tt4016454,tt0277371,tt0305472","Irish, French, English, Danish"
Ciara Flynn,1992,nm4221569,\N,"actress,art_director,miscellaneous","tt1772264,tt3201722,tt4832796,tt3734090",NA
Ciara McMillian,\N,nm8247075,\N,actress,tt1738366,NA
Ciarán Hinds,1953,nm0001354,\N,"actor,soundtrack","tt1201607,tt1596365,tt1340800,tt12789558",NA
Ciera Payton,\N,nm2234564,\N,"actress,writer,miscellaneous","tt13084756,tt3713588,tt10580092,tt3687398",NA
Cillian Murphy,1976,nm0614165,\N,"actor,producer,soundtrack","tt1375666,tt0289043,tt0468569,tt0448134",Irish
Cindy Pickett,1947,nm0681882,\N,"actress,soundtrack","tt0097179,tt0105428,tt0091042,tt0108186",NA
Cindy Williams,1947,nm0930286,2023,"actress,soundtrack,producer","tt0074016,tt0069704,tt0071360,tt0082213","*father – English, as well as distant Scottish and Cornish
*mother – Italian/Sicilian"
CJ Adams,2000,nm2640264,\N,actor,"tt2475846,tt0480242,tt1462769,tt0831387",NA
Claire Blackwelder,1993,nm6370991,\N,actress,"tt11649646,tt9043352,tt3521854,tt2710516",NA
Claire Bloom,1931,nm0001954,\N,actress,"tt0044837,tt0082186,tt1504320,tt0057129",Ashkenazi Jewish
Claire Conti,1959,nm5226523,\N,actress,"tt1810697,tt1942798",NA
Claire Danes,1979,nm0000132,\N,"actress,producer,soundtrack","tt0108872,tt0274558,tt1796960,tt0117509","German, English, Northern Irish, Scottish, Irish, 1/32 Croatian-Italian-Austrian"
Claire Forlani,1971,nm0001231,\N,"actress,producer","tt0460780,tt0119643,tt0113749,tt0132347","*Italian (father)
*English, possibly Scottish (mother)"
Claire Foy,1984,nm2946516,\N,"actress,producer","tt5177088,tt13669038,tt7153766,tt1213641","Irish, English"
Claire Holt,1988,nm2322853,\N,actress,"tt2932536,tt1758575,tt0491603,tt2632424","English, possibly other"
Claire Rankin,\N,nm0710243,\N,"actress,stunts","tt4209788,tt2397255,tt8206880,tt15310816",NA
Claire Stansfield,1964,nm0822694,\N,"actress,director","tt0098936,tt0109676,tt0106179,tt0101761",NA
Clancy Brown,1959,nm0000317,\N,"actor,soundtrack,producer","tt1179056,tt0111161,tt0409847,tt0120201","English, Scottish, Irish, German, some Welsh and Dutch"
Clara Lago,1990,nm1242939,\N,"actress,soundtrack","tt2955316,tt1590193,tt1772250,tt1797504",NA
Clare Carey,1967,nm0136922,\N,"actress,producer","tt0475394,tt0805663,tt0096426,tt0231402",NA
Clare Grant,1979,nm1740127,\N,"actress,producer,music_department","tt0358273,tt0458290,tt13247662,tt6612946","English, Irish, Scottish"
Clare Kramer,1974,nm0004456,\N,"producer,actress,writer","tt0119360,tt0337953,tt0292644,tt0204946","*father – German, Irish, English, Scots-Irish/Northern Irish, distant Dutch [including Frisian] and Welsh"
Clare Stone,\N,nm1477512,\N,actress,"tt0485947,tt0335121,tt0401997,tt1149608",NA
Clarence Gilyard Jr.,1955,nm0319739,2022,"actor,soundtrack,director","tt0095016,tt0106168,tt0092099,tt0190524",NA
Clarence Williams III,1939,nm0929934,2021,actor,"tt0184858,tt0144214,tt1327773,tt0120693",NA
Clark Bartram,\N,nm1298134,\N,"actor,stunts,camera_department","tt1270291,tt0420324,tt0374526,tt3181178",NA
Clark Duke,\N,nm0241173,\N,"actor,director,producer","tt1250777,tt0481499,tt1231587,tt1650554",NA
Clark Gregg,1962,nm0163988,\N,"actor,director,writer","tt2364582,tt0848228,tt0462128,tt1024715","Irish, English, German, Swiss-German"
Clark Sarullo,1982,nm4148246,\N,"actress,writer,producer","tt0775440,tt9777666,tt3645318,tt1229340",NA
Claude Maki,\N,nm0538580,\N,"actor,director","tt0332580,tt0168833,tt0190188,tt0222851",NA
Claudette Mink,1971,nm0006419,\N,actress,"tt0489664,tt1085251,tt0338337,tt0476995",NA
Claudia Bassols,1979,nm2218213,\N,actress,"tt1286146,tt1982882,tt1726861,tt1881024",NA
Claudia Christian,\N,nm0160004,\N,"actress,director,producer","tt0105946,tt0107107,tt0230011,tt0297162",NA
Claudia Church,1962,nm0161357,\N,actress,"tt4287348,tt2281375,tt3268668",NA
Claudio Amendola,1963,nm0024580,\N,"actor,director,writer","tt5746178,tt0115296,tt0103658,tt12580324",Italian [including Sicilian]
Clay von Carlowitz,\N,nm3527198,\N,"actor,producer,writer","tt23186596,tt7360312,tt13604936,tt3283698",NA
Clayne Crawford,1978,nm0186728,\N,"actor,producer,director","tt0369672,tt1334553,tt5164196,tt0281358",NA
Clayton Rohner,1957,nm0737553,\N,"actor,director","tt0195462,tt6927492,tt5071412,tt10312776",NA
Clea DuVall,1977,nm0245112,\N,"actress,writer,producer","tt0309698,tt1024648,tt0133751,tt0179116",NA
Cleavant Derricks,1953,nm0220598,\N,"actor,soundtrack,music_department","tt0443489,tt0087747,tt0112167,tt0106151",NA
Clemency Burton-Hill,1981,nm0123779,\N,actress,"tt0341855,tt0847147,tt0941993,tt0379632",NA
Cleo King,1962,nm0454598,\N,"actress,soundtrack,director","tt0910936,tt1119646,tt0258470,tt0175880",NA
Cleopatra Coleman,1987,nm1671147,\N,"actress,soundtrack,writer","tt11648994,tt9174558,tt10365998,tt8110640","*Scottish, possibly other (father)
*African-Jamaican (mother)"
Cleophas Kabasita,\N,nm1159358,\N,"actor,producer","tt0315100,tt0400063,tt0923688,tt1572154",NA
Cliff Curtis,1968,nm0193295,\N,"actor,producer","tt0448134,tt2192016,tt1630029,tt3231054","Māori, as well as English, Irish, Swedish, and French"
Cliff De Young,1945,nm0002037,\N,"actor,soundtrack","tt0115963,tt0085701,tt0083067,tt0097441",NA
Cliff Robertson,1923,nm0731772,2011,"actor,director,writer","tt0145487,tt0062794,tt0316654,tt0116225","English, small amounts of Scottish, Irish, and German"
Cliff Roca,\N,nm2958744,\N,actor,"tt0277255,tt1666548",NA
Clifton Collins Jr.,1970,nm0004286,\N,"actor,producer,director","tt0796366,tt0765010,tt0379725,tt0181865","*German (father)
*Mexican (mother)"
Clifton Powell,1956,nm0694066,\N,"actor,producer,director","tt0195945,tt0120812,tt0350258,tt0118956",NA
Clint Dyer,1968,nm0245699,\N,"actor,director,writer","tt1430607,tt0318649,tt1401152,tt15798386",NA
Clint Eastwood,1930,nm0000142,\N,"actor,producer,director","tt0405159,tt0105695,tt0112579,tt1205489","English, Scottish, Irish, smaller amounts of German and Dutch, remote Welsh"
Clint Howard,1959,nm0397212,\N,"actor,soundtrack,writer","tt0104231,tt0120484,tt0098439,tt0118655",NA
Clint James,\N,nm1752714,\N,"actor,director,writer","tt22334262,tt3517870,tt3743822,tt16374352",NA
Clint Vanderlinden,\N,nm1995836,\N,actor,"tt4642044,tt5327922,tt2881698,tt1734589",NA
Clive Owen,1964,nm0654110,\N,"actor,producer,soundtrack","tt0376541,tt0280707,tt0454848,tt0206634","English, possibly Welsh"
Cloris Leachman,1926,nm0001458,2021,"actress,soundtrack","tt0067328,tt0072431,tt0371246,tt0481499","English, one quarter Bohemian/Czech, distant Scottish and German, remote French"
Clotilde Courau,1969,nm0183660,\N,"actress,soundtrack","tt0104812,tt3651326,tt0450188,tt0100357",NA
Clu Gulager,1928,nm0347656,2022,"actor,director,writer","tt0067328,tt0426459,tt0089686,tt0089907",NA
Clyde Lewis,1964,nm1071347,\N,"actor,writer,cinematographer","tt3437386,tt1016213,tt0255021,tt0212879",NA
Cobie Smulders,1982,nm1130627,\N,"actress,producer,soundtrack","tt1702439,tt0848228,tt2395427,tt3393786","*Dutch (father)
*English (mother)"
Coby Ryan McLaughlin,\N,nm0572268,\N,"actor,miscellaneous","tt1414382,tt1219024,tt0460627,tt2393813",NA
Coco Jones,1998,nm4636131,\N,"actress,soundtrack","tt6060208,tt12878838,tt8976576,tt1415889",NA
Cody Christian,1995,nm2421367,\N,"actor,soundtrack","tt1567432,tt2403029,tt0986263,tt6057416","English, Penobscot Native American and Passamaquody Native American"
Cody Crenshaw,\N,nm3930976,\N,actor,tt1667133,NA
Cody Horn,1988,nm3158974,\N,"actress,miscellaneous","tt0817177,tt1634136,tt1915581,tt1855199",NA
Cody Linley,1989,nm0512963,\N,"actor,director,writer","tt0493093,tt0453494,tt0463398,tt1597420","English, with smaller amounts of Irish, Scottish, Welsh, and German"
Cody Saintgnue,1993,nm3032678,\N,"actor,producer,director","tt0452046,tt8618970,tt1070874,tt1567432","French, English, German, other"
Cole Hauser,1975,nm0369513,\N,"actor,producer","tt2397255,tt0322259,tt0119217,tt0106677","*father – German, Irish, Walloon Belgian, French, Scottish
*mother – Ashkenazi Jewish"
Coley Feifer,\N,nm2936014,\N,"camera_department,actor,miscellaneous","tt7945822,tt0858437,tt11719418,tt1176095",NA
Colin Conners,\N,nm4070972,\N,"actor,miscellaneous,sound_department","tt1472584,tt3605262,tt2726560,tt1748280",NA
